family,variants/0,variants/1,subsets/0,subsets/1,version,lastModified,files/regular,files/italic,category,kind,variants/2,variants/3,variants/4,subsets/2,files/500,files/600,files/700,files/800,variants/5,variants/6,variants/7,variants/8,variants/9,variants/10,variants/11,variants/12,variants/13,variants/14,variants/15,variants/16,variants/17,subsets/3,subsets/4,files/100,files/200,files/300,files/900,files/100italic,files/200italic,files/300italic,files/500italic,files/600italic,files/700italic,files/800italic,files/900italic,subsets/5,subsets/6,subsets/7,subsets/8
Noto Sans Lao,100,200,lao,latin,v24,2022-09-22,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt4ccbdf5MK3riB2w.ttf,,sans-serif,webfonts#webfont,300,regular,500,latin-ext,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt4Q8bdf5MK3riB2w.ttf,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt4r8Hdf5MK3riB2w.ttf,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt4lsHdf5MK3riB2w.ttf,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt48cHdf5MK3riB2w.ttf,600,700,800,900,,,,,,,,,,,,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt4ccfdf5MK3riB2w.ttf,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt48cbdf5MK3riB2w.ttf,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt4L8bdf5MK3riB2w.ttf,http://fonts.gstatic.com/s/notosanslao/v24/bx6lNx2Ol_ixgdYWLm9BwxM3NW6BOkuf763Clj73CiQ_J1Djx9pidOt42MHdf5MK3riB2w.ttf,,,,,,,,,,,,
Noto Sans Lao Looped,100,200,lao,latin,v5,2023-03-09,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomPr3M-Zw5V_T71k.ttf,,sans-serif,webfonts#webfont,300,regular,500,latin-ext,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomMj3M-Zw5V_T71k.ttf,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomCTwM-Zw5V_T71k.ttf,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomB3wM-Zw5V_T71k.ttf,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomHrwM-Zw5V_T71k.ttf,600,700,800,900,,,,,,,,,,,,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomPr2M-Zw5V_T71k.ttf,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomHr3M-Zw5V_T71k.ttf,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomKT3M-Zw5V_T71k.ttf,http://fonts.gstatic.com/s/notosanslaolooped/v5/a8IgNpbwKmHXpgXbMIsbSMP7-3U72qUOX5gBg6LRXExhqHIX9YPTpvqkW4UthhjomFPwM-Zw5V_T71k.ttf,,,,,,,,,,,,
Noto Sans Lepcha,regular,,latin,latin-ext,v16,2022-11-09,http://fonts.gstatic.com/s/notosanslepcha/v16/0QI7MWlB_JWgA166SKhu05TekNS32AJstqBXgd4.ttf,,sans-serif,webfonts#webfont,,,,lepcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Limbu,regular,,latin,latin-ext,v22,2022-11-09,http://fonts.gstatic.com/s/notosanslimbu/v22/3JnlSDv90Gmq2mrzckOBBRRoNJVj0MF3OHRDnA.ttf,,sans-serif,webfonts#webfont,,,,limbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Linear A,regular,,linear-a,,v16,2022-05-10,http://fonts.gstatic.com/s/notosanslineara/v16/oPWS_l16kP4jCuhpgEGmwJOiA18FZj22zmHQAGQicw.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Linear B,regular,,linear-b,,v15,2022-05-10,http://fonts.gstatic.com/s/notosanslinearb/v15/HhyJU4wt9vSgfHoORYOiXOckKNB737IV3BkFTq4EPw.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Lisu,regular,500,latin,latin-ext,v25,2023-03-09,http://fonts.gstatic.com/s/notosanslisu/v25/uk-3EGO3o6EruUbnwovcYhz6kh57_nqbcTdjJnHP2Vwt29IlxkVdig.ttf,,sans-serif,webfonts#webfont,600,700,,lisu,http://fonts.gstatic.com/s/notosanslisu/v25/uk-3EGO3o6EruUbnwovcYhz6kh57_nqbcTdjJnHP61wt29IlxkVdig.ttf,http://fonts.gstatic.com/s/notosanslisu/v25/uk-3EGO3o6EruUbnwovcYhz6kh57_nqbcTdjJnHPB1st29IlxkVdig.ttf,http://fonts.gstatic.com/s/notosanslisu/v25/uk-3EGO3o6EruUbnwovcYhz6kh57_nqbcTdjJnHPPlst29IlxkVdig.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Lycian,regular,,lycian,,v15,2022-05-10,http://fonts.gstatic.com/s/notosanslycian/v15/QldVNSNMqAsHtsJ7UmqxBQA9r8wA5_naCJwn00E.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Lydian,regular,,lydian,,v15,2022-05-10,http://fonts.gstatic.com/s/notosanslydian/v15/c4m71mVzGN7s8FmIukZJ1v4ZlcPReUPXMoIjEQI.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Mahajani,regular,,mahajani,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansmahajani/v15/-F6sfiVqLzI2JPCgQBnw60Agp0JrvD5Fh8ARHNh4zg.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Malayalam,100,200,latin,latin-ext,v21,2022-09-22,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_RuD9BFzEr6HxEA.ttf,,sans-serif,webfonts#webfont,300,regular,500,malayalam,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_dOD9BFzEr6HxEA.ttf,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_mOf9BFzEr6HxEA.ttf,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_oef9BFzEr6HxEA.ttf,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_xuf9BFzEr6HxEA.ttf,600,700,800,900,,,,,,,,,,,,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_RuH9BFzEr6HxEA.ttf,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_xuD9BFzEr6HxEA.ttf,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_GOD9BFzEr6HxEA.ttf,http://fonts.gstatic.com/s/notosansmalayalam/v21/sJoi3K5XjsSdcnzn071rL37lpAOsUThnDZIfPdbeSNzVakglNM-Qw8EaeB8Nss-_7-f9BFzEr6HxEA.ttf,,,,,,,,,,,,
Noto Sans Mandaic,regular,,mandaic,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansmandaic/v15/cIfnMbdWt1w_HgCcilqhKQBo_OsMI5_A_gMk0izH.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Manichaean,regular,,manichaean,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansmanichaean/v15/taiVGntiC4--qtsfi4Jp9-_GkPZZCcrfekqCNTtFCtdX.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Marchen,regular,,marchen,,v17,2022-11-02,http://fonts.gstatic.com/s/notosansmarchen/v17/aFTO7OZ_Y282EP-WyG6QTOX_C8WZMHhPk652ZaHk.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Masaram Gondi,regular,,latin,latin-ext,v17,2022-11-09,http://fonts.gstatic.com/s/notosansmasaramgondi/v17/6xK_dThFKcWIu4bpRBjRYRV7KZCbUq6n_1kPnuGe7RI9WSWX.ttf,,sans-serif,webfonts#webfont,,,,masaram-gondi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Math,regular,,math,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansmath/v15/7Aump_cpkSecTWaHRlH2hyV5UHkG-V048PW0.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Mayan Numerals,regular,,mayan-numerals,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansmayannumerals/v15/PlIuFk25O6RzLfvNNVSivR09_KqYMwvvDKYjfIiE68oo6eepYQ.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Medefaidrin,regular,500,latin,latin-ext,v21,2022-11-09,http://fonts.gstatic.com/s/notosansmedefaidrin/v21/WwkzxOq6Dk-wranENynkfeVsNbRZtbOIdLb1exeM4ZeuabBfmErWlT318e5A3rw.ttf,,sans-serif,webfonts#webfont,600,700,,medefaidrin,http://fonts.gstatic.com/s/notosansmedefaidrin/v21/WwkzxOq6Dk-wranENynkfeVsNbRZtbOIdLb1exeM4ZeuabBfmHjWlT318e5A3rw.ttf,http://fonts.gstatic.com/s/notosansmedefaidrin/v21/WwkzxOq6Dk-wranENynkfeVsNbRZtbOIdLb1exeM4ZeuabBfmJTRlT318e5A3rw.ttf,http://fonts.gstatic.com/s/notosansmedefaidrin/v21/WwkzxOq6Dk-wranENynkfeVsNbRZtbOIdLb1exeM4ZeuabBfmK3RlT318e5A3rw.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Meetei Mayek,100,200,latin,latin-ext,v14,2022-09-28,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1TJ_vTW5PgeFYVa.ttf,,sans-serif,webfonts#webfont,300,regular,500,meetei-mayek,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1T7_vTW5PgeFYVa.ttf,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1QX-fTW5PgeFYVa.ttf,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1Qu-fTW5PgeFYVa.ttf,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1RJ-fTW5PgeFYVa.ttf,600,700,800,900,,,,,,,,,,,,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1TJ__TW5PgeFYVa.ttf,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1RJ_vTW5PgeFYVa.ttf,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1SX_vTW5PgeFYVa.ttf,http://fonts.gstatic.com/s/notosansmeeteimayek/v14/HTxAL3QyKieByqY9eZPFweO0be7M21uSphSdhqILnmrRfJ8t_1Rg-fTW5PgeFYVa.ttf,,,,,,,,,,,,
Noto Sans Mende Kikakui,regular,,latin,latin-ext,v28,2022-11-09,http://fonts.gstatic.com/s/notosansmendekikakui/v28/11hRGoLHz17aKjQCWj-JHcLvu2Q5zZrnkbNCLUx_aDJLAHer.ttf,,sans-serif,webfonts#webfont,,,,mende-kikakui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Meroitic,regular,,meroitic,,v16,2022-05-10,http://fonts.gstatic.com/s/notosansmeroitic/v16/IFS5HfRJndhE3P4b5jnZ3ITPvC6i00UDgDhTiKY9KQ.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Miao,regular,,latin,latin-ext,v17,2022-09-28,http://fonts.gstatic.com/s/notosansmiao/v17/Dxxz8jmXMW75w3OmoDXVV4zyZUjgUYVslLhx.ttf,,sans-serif,webfonts#webfont,,,,miao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Modi,regular,,latin,latin-ext,v20,2022-11-09,http://fonts.gstatic.com/s/notosansmodi/v20/pe03MIySN5pO62Z5YkFyT7jeav5qWVAgVol-.ttf,,sans-serif,webfonts#webfont,,,,modi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Mongolian,regular,,latin,latin-ext,v17,2022-11-09,http://fonts.gstatic.com/s/notosansmongolian/v17/VdGCAYADGIwE0EopZx8xQfHlgEAMsrToxLsg6-av1x0.ttf,,sans-serif,webfonts#webfont,,,,mongolian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Mono,100,200,cyrillic,cyrillic-ext,v21,2022-09-28,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_FNJ49rXVEQQL8Y.ttf,,monospace,webfonts#webfont,300,regular,500,greek,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_GFJ49rXVEQQL8Y.ttf,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_I1O49rXVEQQL8Y.ttf,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_LRO49rXVEQQL8Y.ttf,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_NNO49rXVEQQL8Y.ttf,600,700,800,900,,,,,,,,,,greek-ext,latin,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_FNI49rXVEQQL8Y.ttf,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_NNJ49rXVEQQL8Y.ttf,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_A1J49rXVEQQL8Y.ttf,http://fonts.gstatic.com/s/notosansmono/v21/BngrUXNETWXI6LwhGYvaxZikqZqK6fBq6kPvUce2oAZcdthSBUsYck4-_PpO49rXVEQQL8Y.ttf,,,,,,,,,latin-ext,vietnamese,,
Noto Sans Mro,regular,,latin,latin-ext,v18,2022-12-08,http://fonts.gstatic.com/s/notosansmro/v18/qWcsB6--pZv9TqnUQMhe9b39WDzRtjkho4M.ttf,,sans-serif,webfonts#webfont,,,,mro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Multani,regular,,latin,latin-ext,v20,2022-11-09,http://fonts.gstatic.com/s/notosansmultani/v20/9Bty3ClF38_RfOpe1gCaZ8p30BOFO1A0pfCs5Kos.ttf,,sans-serif,webfonts#webfont,,,,multani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Myanmar,100,200,myanmar,,v20,2022-09-28,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZq_y1ZtY3ymOryg38hOCSdOnFq0En23OU4o1AC.ttf,,sans-serif,webfonts#webfont,300,regular,500,,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZv_y1ZtY3ymOryg38hOCSdOnFq0HEC9cEwiEwLxR-r.ttf,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZv_y1ZtY3ymOryg38hOCSdOnFq0HEu8sEwiEwLxR-r.ttf,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZv_y1ZtY3ymOryg38hOCSdOnFq0HFK88EwiEwLxR-r.ttf,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZv_y1ZtY3ymOryg38hOCSdOnFq0HFW8MEwiEwLxR-r.ttf,600,700,800,900,,,,,,,,,,,,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZs_y1ZtY3ymOryg38hOCSdOnFq0HGS1uEapkAC3AY.ttf,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZv_y1ZtY3ymOryg38hOCSdOnFq0HE-98EwiEwLxR-r.ttf,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZv_y1ZtY3ymOryg38hOCSdOnFq0HFa9MEwiEwLxR-r.ttf,http://fonts.gstatic.com/s/notosansmyanmar/v20/AlZv_y1ZtY3ymOryg38hOCSdOnFq0HFy8cEwiEwLxR-r.ttf,,,,,,,,,,,,
Noto Sans NKo,regular,,latin,latin-ext,v2,2023-01-25,http://fonts.gstatic.com/s/notosansnko/v2/esDX31ZdNv-KYGGJpKGk2_RpMpCMHMLBrdA.ttf,,sans-serif,webfonts#webfont,,,,nko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Nabataean,regular,,nabataean,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansnabataean/v15/IFS4HfVJndhE3P4b5jnZ34DfsjO330dNoBJ9hK8kMK4.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans New Tai Lue,regular,500,latin,latin-ext,v19,2023-03-01,http://fonts.gstatic.com/s/notosansnewtailue/v19/H4cKBW-Pl9DZ0Xe_nHUapt7PovLXAhAnY7wqaLy-OJgU3p_pdeXAYUbghFPKzeY.ttf,,sans-serif,webfonts#webfont,600,700,,new-tai-lue,http://fonts.gstatic.com/s/notosansnewtailue/v19/H4cKBW-Pl9DZ0Xe_nHUapt7PovLXAhAnY7wqaLy-OJgU3p_pddfAYUbghFPKzeY.ttf,http://fonts.gstatic.com/s/notosansnewtailue/v19/H4cKBW-Pl9DZ0Xe_nHUapt7PovLXAhAnY7wqaLy-OJgU3p_pdTvHYUbghFPKzeY.ttf,http://fonts.gstatic.com/s/notosansnewtailue/v19/H4cKBW-Pl9DZ0Xe_nHUapt7PovLXAhAnY7wqaLy-OJgU3p_pdQLHYUbghFPKzeY.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Newa,regular,,latin,latin-ext,v16,2022-11-09,http://fonts.gstatic.com/s/notosansnewa/v16/7r3fqXp6utEsO9pI4f8ok8sWg8n_qN4R5lNU.ttf,,sans-serif,webfonts#webfont,,,,newa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Nushu,regular,,nushu,,v18,2022-05-10,http://fonts.gstatic.com/s/notosansnushu/v18/rnCw-xRQ3B7652emAbAe_Ai1IYaFWFAMArZKqQ.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Ogham,regular,,ogham,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansogham/v15/kmKlZqk1GBDGN0mY6k5lmEmww4hrt5laQxcoCA.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Ol Chiki,regular,500,latin,latin-ext,v20,2022-11-09,http://fonts.gstatic.com/s/notosansolchiki/v20/N0b92TJNOPt-eHmFZCdQbrL32r-4CvhzDzRwlxOQYuVALWk267I6gVrz5gQ.ttf,,sans-serif,webfonts#webfont,600,700,,ol-chiki,http://fonts.gstatic.com/s/notosansolchiki/v20/N0b92TJNOPt-eHmFZCdQbrL32r-4CvhzDzRwlxOQYuVALVs267I6gVrz5gQ.ttf,http://fonts.gstatic.com/s/notosansolchiki/v20/N0b92TJNOPt-eHmFZCdQbrL32r-4CvhzDzRwlxOQYuVALbcx67I6gVrz5gQ.ttf,http://fonts.gstatic.com/s/notosansolchiki/v20/N0b92TJNOPt-eHmFZCdQbrL32r-4CvhzDzRwlxOQYuVALY4x67I6gVrz5gQ.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old Hungarian,regular,,old-hungarian,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansoldhungarian/v15/E213_cD6hP3GwCJPEUssHEM0KqLaHJXg2PiIgRfjbg5nCYXt.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old Italic,regular,,old-italic,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansolditalic/v15/TuGOUUFzXI5FBtUq5a8bh68BJxxEVam7tWlRdRhtCC4d.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old North Arabian,regular,,old-north-arabian,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansoldnortharabian/v15/esDF30BdNv-KYGGJpKGk2tNiMt7Jar6olZDyNdr81zBQmUo_xw4ABw.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old Permic,regular,,old-permic,,v16,2022-05-10,http://fonts.gstatic.com/s/notosansoldpermic/v16/snf1s1q1-dF8pli1TesqcbUY4Mr-ElrwKLdXgv_dKYB5.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old Persian,regular,,old-persian,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansoldpersian/v15/wEOjEAbNnc5caQTFG18FHrZr9Bp6-8CmIJ_tqOlQfx9CjA.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old Sogdian,regular,,old-sogdian,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansoldsogdian/v15/3JnjSCH90Gmq2mrzckOBBhFhdrMst48aURt7neIqM-9uyg.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old South Arabian,regular,,old-south-arabian,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansoldsoutharabian/v15/3qT5oiOhnSyU8TNFIdhZTice3hB_HWKsEnF--0XCHiKx1OtDT9HwTA.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Old Turkic,regular,,old-turkic,,v15,2022-05-10,http://fonts.gstatic.com/s/notosansoldturkic/v15/yMJNMJVya43H0SUF_WmcGEQVqoEMKDKbsE2RjEw-Vyws.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noto Sans Oriya,100,200,latin,latin-ext,v26,2023-03-09,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5Ivj0f6_c6LhHBRe-.ttf,,sans-serif,webfonts#webfont,300,regular,500,oriya,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5IvjGf6_c6LhHBRe-.ttf,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5IvgqeK_c6LhHBRe-.ttf,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5IvgTeK_c6LhHBRe-.ttf,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5Ivh0eK_c6LhHBRe-.ttf,600,700,800,900,,,,,,,,,,,,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5Ivj0fq_c6LhHBRe-.ttf,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5Ivh0f6_c6LhHBRe-.ttf,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5Iviqf6_c6LhHBRe-.ttf,http://fonts.gstatic.com/s/notosansoriya/v26/AYCppXfzfccDCstK_hrjDyADv5e9748vhj3CJBLHIARtgD6TJQS0dJT5IvhdeK_c6LhHBRe-.ttf,,,,,,,,,,,,
