family,variants/0,variants/1,subsets/0,subsets/1,version,lastModified,files/regular,files/italic,category,kind,variants/2,variants/3,variants/4,subsets/2,files/500,files/600,files/700,files/800,variants/5,variants/6,variants/7,variants/8,variants/9,variants/10,variants/11,variants/12,variants/13,variants/14,variants/15,variants/16,variants/17,subsets/3,subsets/4,files/100,files/200,files/300,files/900,files/100italic,files/200italic,files/300italic,files/500italic,files/600italic,files/700italic,files/800italic,files/900italic,subsets/5,subsets/6,subsets/7,subsets/8
Fredoka One,regular,,latin,,v13,2022-09-22,http://fonts.gstatic.com/s/fredokaone/v13/k3kUo8kEI-tA1RRcTZGmTmHBA6aF8Bf_.ttf,,display,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freehand,regular,,khmer,latin,v27,2022-04-21,http://fonts.gstatic.com/s/freehand/v27/cIf-Ma5eqk01VjKTgAmBTmUOmZJk.ttf,,display,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca,regular,,latin,latin-ext,v18,2022-09-22,http://fonts.gstatic.com/s/fresca/v18/6ae94K--SKgCzbM2Gr0W13DKPA.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frijole,regular,,latin,,v14,2022-09-22,http://fonts.gstatic.com/s/frijole/v14/uU9PCBUR8oakM2BQ7xPb3vyHmlI.ttf,,display,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruktur,regular,italic,cyrillic-ext,latin,v26,2022-09-22,http://fonts.gstatic.com/s/fruktur/v26/SZc53FHsOru5QYsMfz3GkUrS8DI.ttf,http://fonts.gstatic.com/s/fruktur/v26/SZc73FHsOru5QYsMTz_MlWjX4DJXgQ.ttf,display,webfonts#webfont,,,,latin-ext,,,,,,,,,,,,,,,,,,vietnamese,,,,,,,,,,,,,,,,,
Fugaz One,regular,,latin,,v15,2022-09-22,http://fonts.gstatic.com/s/fugazone/v15/rax_HiWKp9EAITukFslMBBJek0vA8A.ttf,,display,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuggles,regular,,latin,latin-ext,v8,2022-09-22,http://fonts.gstatic.com/s/fuggles/v8/k3kQo8UEJOlD1hpOTd7iL0nAMaM.ttf,,handwriting,webfonts#webfont,,,,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuzzy Bubbles,regular,700,latin,latin-ext,v5,2022-09-22,http://fonts.gstatic.com/s/fuzzybubbles/v5/6qLGKZMbrgv9pwtjPEVNV0F2NnP5Zxsreko.ttf,,handwriting,webfonts#webfont,,,,vietnamese,,,http://fonts.gstatic.com/s/fuzzybubbles/v5/6qLbKZMbrgv9pwtjPEVNV0F2Ds_WQxMAZkM1pn4.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFS Didot,regular,,greek,,v15,2022-09-22,http://fonts.gstatic.com/s/gfsdidot/v15/Jqzh5TybZ9vZMWFssvwiF-fGFSCGAA.ttf,,serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFS Neohellenic,regular,italic,greek,,v25,2022-09-22,http://fonts.gstatic.com/s/gfsneohellenic/v25/8QIRdiDOrfiq0b7R8O1Iw9WLcY5TLahP46UDUw.ttf,http://fonts.gstatic.com/s/gfsneohellenic/v25/8QITdiDOrfiq0b7R8O1Iw9WLcY5jL6JLwaATU91X.ttf,sans-serif,webfonts#webfont,700,700italic,,,,,http://fonts.gstatic.com/s/gfsneohellenic/v25/8QIUdiDOrfiq0b7R8O1Iw9WLcY5rkYdr644fWsRO9w.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,http://fonts.gstatic.com/s/gfsneohellenic/v25/8QIWdiDOrfiq0b7R8O1Iw9WLcY5jL5r37oQbeMFe985V.ttf,,,,,,
Gabriela,regular,,cyrillic,cyrillic-ext,v14,2022-09-22,http://fonts.gstatic.com/s/gabriela/v14/qkBWXvsO6sreR8E-b_m-zrpHmRzC.ttf,,serif,webfonts#webfont,,,,latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaegu,300,regular,korean,latin,v15,2022-09-27,http://fonts.gstatic.com/s/gaegu/v15/TuGfUVB6Up9NU6ZLodgzydtk.ttf,,handwriting,webfonts#webfont,700,,,,,,http://fonts.gstatic.com/s/gaegu/v15/TuGSUVB6Up9NU573jvw74sdtBk0x.ttf,,,,,,,,,,,,,,,,,,,http://fonts.gstatic.com/s/gaegu/v15/TuGSUVB6Up9NU57nifw74sdtBk0x.ttf,,,,,,,,,,,,,
Gafata,regular,,latin,latin-ext,v16,2022-09-22,http://fonts.gstatic.com/s/gafata/v16/XRXV3I6Cn0VJKon4MuyAbsrVcA.ttf,,sans-serif,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gajraj One,regular,,devanagari,latin,v1,2023-02-16,http://fonts.gstatic.com/s/gajrajone/v1/1cX2aUDCDpXsuWVb1jIjr1GqhcitzeM.ttf,,display,webfonts#webfont,,,,latin-ext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galada,regular,,bengali,latin,v14,2022-09-22,http://fonts.gstatic.com/s/galada/v14/H4cmBXyGmcjXlUX-8iw-4Lqggw.ttf,,display,webfonts#webfont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
